4567897274188297|10|2030|639
5123456311997147|05|2033|123
3782824566008216|07|2032|5180
4111118041171503|05|2032|934
5555555158845603|11|2033|138
3782822490552317|01|2028|449
6011002706249273|02|2026|949
4242420882634173|02|2030|461
3456782282319157|12|2029|749
4111111016204730|06|2026|704
5555552236517445|05|2026|123
3782825670904802|10|2027|850
4111111180210208|12|2028|456
6011006559020152|11|2027|8355
5555558095451394|07|2032|358
3782827591658244|09|2030|789
4111111111111111|11|2033|608
5555555555554444|08|2027|008
3782822463100052|06|2033|445
4111111659052438|06|2029|447
5555556674810832|08|2029|123
4111117059956839|03|2029|123
5555558963025627|05|2026|8418
