4567894003326926|09|2030|701
5123458725884192|05|2031|123
3782826112979386|03|2030|1382
4111119857655795|11|2030|211
5555556525773742|02|2028|682
3782824489110651|08|2032|137
6011000650662046|02|2033|636
4242420648148047|02|2030|878
3456788533448893|08|2027|046
4111117409361037|05|2032|292
5555550633074242|05|2026|123
3782829660238486|09|2027|842
4111110979722860|12|2028|456
6011002715323549|09|2031|2572
5555556618076441|01|2030|256
3782826209970355|09|2030|789
4111111111111111|11|2032|509
5555555555554444|05|2030|197
3782822463100052|06|2030|448
4111119471539847|03|2029|403
5555559669337258|08|2027|123
4111118651506972|05|2026|123
5555552427192636|05|2026|7228
