4567897534795816|12|2030|420
5123458997029351|05|2027|123
3782820719658899|10|2028|0449
4111118016517466|08|2032|983
5555552812383212|02|2033|422
3782828418109429|04|2026|774
6011007894979946|09|2030|639
4242429884046062|05|2030|874
3456780488623778|01|2029|063
4111111674959427|05|2026|539
5555556557359238|05|2026|123
3782823802636616|04|2027|078
4111115066298450|12|2028|456
6011001669517122|03|2028|9302
5555552374522637|03|2028|164
3782821981367805|09|2030|789
4111111111111111|05|2028|964
5555555555554444|09|2029|418
3782822463100052|09|2029|241
4111110273146964|01|2029|088
5555557298339661|08|2033|123
4111111184659137|10|2032|123
5555558034662374|05|2026|7247
